file_id,section_text,section_type,parent_section_type,level,start,end,line_id,confidence,alias_source
1.txt,Tiền sử bệnh,PAST_HISTORY,,1,4,16,1,1.0,tiền sử bệnh
1.txt,Thuốc trước khi nhập viện,MEDICATION_HISTORY,PAST_HISTORY,2,21,46,2,1.0,thuốc trước khi nhập viện
1.txt,Các yếu tố nguy cơ liên quan,RISK_FACTORS,PAST_HISTORY,2,150,178,6,1.0,các yếu tố nguy cơ liên quan
1.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,409,430,12,1.0,tiền sử bệnh hiện tại
1.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,435,450,13,1.0,lý do nhập viện
1.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,517,548,14,1.0,thời điểm khởi phát triệu chứng
1.txt,Các triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,635,659,16,1.0,các triệu chứng hiện tại
1.txt,Đặc điểm triệu chứng khi khám tại khoa cấp cứu,SYMPTOM_DETAIL,CURRENT_HISTORY,2,1000,1046,24,1.0,đặc điểm triệu chứng khi khám tại khoa cấp cứu
1.txt,Các diễn biến  trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,1541,1575,32,1.0,các diễn biến trước khi nhập viện
1.txt,Được chỉ định điều trị,MEDICATION_ADMINISTERED,CURRENT_HISTORY,2,2175,2197,40,1.0,được chỉ định điều trị
1.txt,Tình trạng ngay trước khi nhập viện,IMMEDIATE_PRE_ADMISSION_STATUS,CURRENT_HISTORY,2,2351,2386,44,1.0,tình trạng ngay trước khi nhập viện
1.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,2427,2449,46,1.0,đánh giá tại bệnh viện
1.txt,Kết quả khám lâm sàng,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,2454,2475,47,1.0,kết quả khám lâm sàng
1.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,2598,2616,50,1.0,kết quả xét nghiệm
1.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,2665,2691,51,1.0,kết quả chẩn đoán hình ảnh
1.txt,Các kết quả chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,2738,2764,52,1.0,các kết quả chẩn đoán khác
2.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
2.txt,Các bệnh lý mãn tính,CHRONIC_DISEASES,PAST_HISTORY,2,30,50,2,1.0,các bệnh lý mãn tính
2.txt,Các yếu tố nguy cơ liên quan,RISK_FACTORS,PAST_HISTORY,2,80,108,3,1.0,các yếu tố nguy cơ liên quan
2.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,143,164,5,1.0,tiền sử bệnh hiện tại
2.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,169,189,6,1.0,triệu chứng hiện tại
2.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,213,244,7,1.0,các sự kiện trước khi nhập viện
2.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,500,522,13,1.0,đánh giá tại bệnh viện
2.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,527,553,14,1.0,các thủ thuật đã thực hiện
3.txt,Tiền sử bệnh,PAST_HISTORY,,1,3,15,1,1.0,tiền sử bệnh
3.txt,Các bệnh lý nội khoa mạn tính,CHRONIC_DISEASES,PAST_HISTORY,2,185,214,5,1.0,các bệnh lý nội khoa mạn tính
3.txt,Thuốc trước khi nhập viện lần này,MEDICATION_HISTORY,PAST_HISTORY,2,293,326,9,1.0,thuốc trước khi nhập viện lần này
3.txt,Các yếu tố nguy cơ liên quan,RISK_FACTORS,PAST_HISTORY,2,363,391,10,1.0,các yếu tố nguy cơ liên quan
3.txt,Bệnh sử hiện tại,CURRENT_HISTORY,,1,418,434,12,1.0,bệnh sử hiện tại
3.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,435,450,13,1.0,lý do nhập viện
3.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,465,496,14,1.0,thời điểm khởi phát triệu chứng
3.txt,Các triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,506,530,15,1.0,các triệu chứng hiện tại
3.txt,Đặc điểm triệu chứng,SYMPTOM_DETAIL,CURRENT_HISTORY,2,993,1013,36,1.0,đặc điểm triệu chứng
3.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,3002,3033,115,1.0,các sự kiện trước khi nhập viện
3.txt,Tình trạng ngay trước khi nhập viện,IMMEDIATE_PRE_ADMISSION_STATUS,CURRENT_HISTORY,2,3845,3880,126,1.0,tình trạng ngay trước khi nhập viện
3.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,3929,3951,128,1.0,đánh giá tại bệnh viện
3.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,3952,3970,129,1.0,kết quả xét nghiệm
3.txt,Kết quả hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,4341,4357,138,1.0,kết quả hình ảnh
4.txt,Tiền sử bệnh,PAST_HISTORY,,1,4,16,1,1.0,tiền sử bệnh
4.txt,Bệnh nhân có tiền sử dụng thuốc,MEDICATION_HISTORY,PAST_HISTORY,2,21,52,2,1.0,bệnh nhân có tiền sử dụng thuốc
4.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,137,158,6,1.0,tiền sử bệnh hiện tại
4.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,854,869,12,1.0,lý do nhập viện
4.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,902,933,13,1.0,thời điểm khởi phát triệu chứng
4.txt,Các triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,948,972,14,1.0,các triệu chứng hiện tại
4.txt,Đặc điểm triệu chứng,SYMPTOM_DETAIL,CURRENT_HISTORY,2,1103,1123,20,1.0,đặc điểm triệu chứng
4.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,1420,1451,24,1.0,các sự kiện trước khi nhập viện
4.txt,Xét nghiệm,LAB_RESULT_SECTION,CURRENT_HISTORY,2,1672,1682,29,1.0,xét nghiệm
4.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,1789,1811,31,1.0,đánh giá tại bệnh viện
4.txt,Xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1812,1822,32,1.0,xét nghiệm
4.txt,Chẩn đoán hình ảnh và thăm dò,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1871,1900,33,1.0,chẩn đoán hình ảnh và thăm dò
4.txt,Thủ thuật được thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,2004,2028,35,1.0,thủ thuật được thực hiện
5.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
5.txt,Các bệnh lý mạn tính,CHRONIC_DISEASES,PAST_HISTORY,2,30,50,2,1.0,các bệnh lý mạn tính
5.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,217,238,8,1.0,tiền sử bệnh hiện tại
5.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,243,258,9,1.0,lý do nhập viện
5.txt,Thời điểm khởi phát triệu chứng,ADMISSION_REASON,CURRENT_HISTORY,2,273,304,10,1.0,thời điểm khởi phát triệu chứng
5.txt,Triệu chứng chính,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,363,380,13,1.0,triệu chứng chính
5.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,539,561,18,1.0,đánh giá tại bệnh viện
5.txt,Dấu hiệu lâm sàng,CURRENT_SYMPTOMS,HOSPITAL_ASSESSMENT,2,566,583,19,1.0,dấu hiệu lâm sàng
5.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,762,780,24,1.0,kết quả xét nghiệm
5.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1017,1043,32,1.0,kết quả chẩn đoán hình ảnh
5.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,1161,1187,34,1.0,các thủ thuật đã thực hiện
6.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
6.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,143,164,4,1.0,tiền sử bệnh hiện tại
6.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,169,200,5,1.0,các sự kiện trước khi nhập viện
6.txt,Tình trạng ngay trước khi nhập viện,IMMEDIATE_PRE_ADMISSION_STATUS,CURRENT_HISTORY,2,416,451,8,1.0,tình trạng ngay trước khi nhập viện
6.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,562,584,10,1.0,đánh giá tại bệnh viện
7.txt,Tiền sử bệnh,PAST_HISTORY,,1,4,16,1,1.0,tiền sử bệnh
7.txt,Các bệnh lý mạn tính,CHRONIC_DISEASES,PAST_HISTORY,2,21,41,2,1.0,các bệnh lý mạn tính
7.txt,Thuốc trước khi nhập viện lần này,MEDICATION_HISTORY,PAST_HISTORY,2,155,188,5,1.0,thuốc trước khi nhập viện lần này
7.txt,Các yếu tố nguy cơ liên quan,RISK_FACTORS,PAST_HISTORY,2,293,321,6,1.0,các yếu tố nguy cơ liên quan
7.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,350,371,8,1.0,tiền sử bệnh hiện tại
7.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,376,391,9,1.0,lý do nhập viện
7.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,438,458,10,1.0,triệu chứng hiện tại
7.txt,Đặc điểm triệu chứng,SYMPTOM_DETAIL,CURRENT_HISTORY,2,699,719,18,1.0,đặc điểm triệu chứng
7.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,1015,1046,25,1.0,các sự kiện trước khi nhập viện
7.txt,Tình trạng ngay trước khi nhập viện,IMMEDIATE_PRE_ADMISSION_STATUS,CURRENT_HISTORY,2,1580,1615,33,1.0,tình trạng ngay trước khi nhập viện
7.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,1707,1729,35,1.0,đánh giá tại bệnh viện
7.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1734,1752,36,1.0,kết quả xét nghiệm
7.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,1790,1816,37,1.0,kết quả chẩn đoán hình ảnh
7.txt,Các thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,1888,1914,38,1.0,các thủ thuật đã thực hiện
7.txt,Các phát hiện chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,1962,1990,39,1.0,các phát hiện chẩn đoán khác
8.txt,Bệnh sử,CURRENT_HISTORY,,1,0,7,1,1.0,bệnh sử
8.txt,Kết quả khám tại bệnh viện,HOSPITAL_ASSESSMENT,,1,704,730,7,1.0,kết quả khám tại bệnh viện
8.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,731,749,8,1.0,kết quả xét nghiệm
8.txt,Thủ thuật đã thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,828,850,9,1.0,thủ thuật đã thực hiện
9.txt,Tiền sử bệnh,PAST_HISTORY,,1,4,16,1,1.0,tiền sử bệnh
9.txt,Bệnh lý mãn tính,CHRONIC_DISEASES,PAST_HISTORY,2,21,37,2,1.0,bệnh lý mãn tính
9.txt,Thuốc trước khi nhập viện,MEDICATION_HISTORY,PAST_HISTORY,2,77,102,3,1.0,thuốc trước khi nhập viện
9.txt,Lịch sử bệnh hiện tại,CURRENT_HISTORY,,1,114,135,5,1.0,lịch sử bệnh hiện tại
9.txt,Lý do nhập viện,ADMISSION_REASON,CURRENT_HISTORY,2,140,155,6,1.0,lý do nhập viện
9.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,201,221,7,1.0,triệu chứng hiện tại
9.txt,Các sự kiện trước khi nhập viện,PRE_ADMISSION_EVENTS,CURRENT_HISTORY,2,274,305,10,1.0,các sự kiện trước khi nhập viện
9.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,641,663,17,1.0,đánh giá tại bệnh viện
9.txt,Kết quả phòng thí nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,668,692,18,1.0,kết quả phòng thí nghiệm
9.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,716,742,19,1.0,kết quả chẩn đoán hình ảnh
10.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,3,24,1,1.0,tiền sử bệnh nội khoa
10.txt,Tiền sử bệnh hiện tại,CURRENT_HISTORY,,1,62,83,3,1.0,tiền sử bệnh hiện tại
10.txt,Triệu chứng hiện tại,CURRENT_SYMPTOMS,CURRENT_HISTORY,2,84,104,4,1.0,triệu chứng hiện tại
10.txt,Đánh giá tại bệnh viện,HOSPITAL_ASSESSMENT,,1,204,226,11,1.0,đánh giá tại bệnh viện
10.txt,Kết quả xét nghiệm,LAB_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,227,245,12,1.0,kết quả xét nghiệm
10.txt,Kết quả chẩn đoán hình ảnh,IMAGING_RESULT_SECTION,HOSPITAL_ASSESSMENT,2,296,322,13,1.0,kết quả chẩn đoán hình ảnh
10.txt,Thủ thuật thực hiện,PROCEDURE_SECTION,HOSPITAL_ASSESSMENT,2,531,550,16,1.0,thủ thuật thực hiện
10.txt,Các phát hiện chẩn đoán khác,DIAGNOSTIC_FINDINGS,HOSPITAL_ASSESSMENT,2,594,622,19,1.0,các phát hiện chẩn đoán khác
11.txt,Tiền sử bệnh nội khoa,PAST_HISTORY,,1,4,25,1,1.0,tiền sử bệnh nội khoa
11.txt,Các bệnh lý mạn tính,CHRONIC_DISEASES,PAST_HISTORY,2,30,50,2,1.0,các bệnh lý mạn tính
