source_pdf,source_page,source_item,raw_name,normalized_name,canonical_key,canonical_name,category,specimen,official_name,local_name,notes
lab_med_ministry_pdf,3,55,Định lượng 25OH Vitamin D (D3),25OH Vitamin D (D3),25oh_vitamin_d,25OH Vitamin D,chemistry,blood,25OH Vitamin D (D3),,
both,2,3,Định lượng Acid Uric,Acid Uric,acid_uric,Acid Uric,urinalysis,blood,Acid Uric,Acid uric máu,lab_list_pdf#1:12; lab_med_ministry_pdf#2:3
lab_list_pdf,7,107,Acid uric niệu,Acid uric niệu,acid_uric_nieu,Acid uric niệu,chemistry,blood,,Acid uric niệu,
lab_med_ministry_pdf,2,1,Đo hoạt độ ACP (Phosphatase Acid),ACP (Phosphatase Acid),acp,ACP,chemistry,blood,ACP (Phosphatase Acid),,
both,2,2,Định lượng ACTH,ACTH,acth,ACTH,endocrine,blood,ACTH,ACTH,lab_list_pdf#4:63; lab_med_ministry_pdf#2:2
lab_med_ministry_pdf,2,4,Định lượng ADH (Anti Diuretic Hormone),ADH (Anti Diuretic Hormone),adh,ADH,chemistry,blood,ADH (Anti Diuretic Hormone),,
lab_med_ministry_pdf,2,5,Định lượng Adiponectin,Adiponectin,adiponectin,Adiponectin,chemistry,blood,Adiponectin,,
both,2,18,Định lượng AFP (Alpha Fetoproteine),AFP (Alpha Fetoproteine),afp,AFP,tumor_marker,blood,AFP (Alpha Fetoproteine),AFP,lab_list_pdf#3:43; lab_med_ministry_pdf#2:18
lab_med_ministry_pdf,2,7,Định lượng Albumin,Albumin,albumin,Albumin,chemistry,blood,Albumin,,lab_med_ministry_pdf#2:7; lab_med_ministry_pdf#7:208
lab_list_pdf,1,6,Albumin máu,Albumin máu,albumin_mau,Albumin máu,chemistry,blood,,Albumin máu,
lab_med_ministry_pdf,2,6,Định lượng Aldosteron,Aldosteron,aldosteron,Aldosteron,chemistry,blood,Aldosteron,,
both,2,9,Đo hoạt độ ALP (Alkalin Phosphatase),ALP (Alkalin Phosphatase),alp,ALP,chemistry,blood,ALP (Alkalin Phosphatase),ALP,lab_list_pdf#2:18; lab_med_ministry_pdf#2:9
lab_med_ministry_pdf,2,8,Định lượng Alpha1 Antitrypsin,Alpha1 Antitrypsin,alpha1_antitrypsin,Alpha1 Antitrypsin,chemistry,blood,Alpha1 Antitrypsin,,
lab_med_ministry_pdf,2,21,Định lượng alpha 1 Acid Glycoprotein,alpha 1 Acid Glycoprotein,alpha_1_acid_glycoprotein,alpha 1 Acid Glycoprotein,chemistry,blood,alpha 1 Acid Glycoprotein,,
lab_list_pdf,2,23,alpha -amylase máu,alpha -amylase máu,alpha_amylase_mau,alpha -amylase máu,chemistry,blood,,alpha -amylase máu,
lab_list_pdf,7,106,alpha -amylase niệu,alpha -amylase niệu,alpha_amylase_nieu,alpha -amylase niệu,chemistry,blood,,alpha -amylase niệu,
both,2,19,Đo hoạt độ ALT (GPT),ALT (GPT),alt,ALT,chemistry,blood,ALT (GPT),ALT,lab_list_pdf#2:16; lab_med_ministry_pdf#2:19
lab_med_ministry_pdf,2,12,Định lượng AMH ( Anti- Mullerian Hormone),AMH ( Anti- Mullerian Hormone),amh,AMH,chemistry,blood,AMH ( Anti- Mullerian Hormone),,
lab_med_ministry_pdf,2,11,Định lượng Amoniac ( NH3),Amoniac ( NH3),amoniac,Amoniac,chemistry,blood,Amoniac ( NH3),,
lab_med_ministry_pdf,2,10,Đo hoạt độ Amylase,Amylase,amylase,Amylase,urinalysis,blood,Amylase,,lab_med_ministry_pdf#2:10; lab_med_ministry_pdf#7:210
both,5,84,Anti-CCP,Anti-CCP,anti_ccp,Anti-CCP,immunology,blood,Anti CCP,Anti-CCP,both#2:13; lab_list_pdf#5:84
lab_list_pdf,5,79,Anti-HBc IgM,Anti-HBc IgM,anti_hbc_igm,Anti-HBc IgM,chemistry,blood,,Anti-HBc IgM,
lab_list_pdf,5,77,Anti-HBeAg,Anti-HBeAg,anti_hbeag,Anti-HBeAg,chemistry,blood,,Anti-HBeAg,
lab_list_pdf,5,76,Anti-HBsAg,Anti-HBsAg,anti_hbsag,Anti-HBsAg,immunology,blood,,Anti-HBsAg,
lab_list_pdf,5,78,Anti-HCV,Anti-HCV,anti_hcv,Anti-HCV,immunology,blood,,Anti-HCV,
both,2,14,Định lượng Anti-Tg (Antibody- Thyroglobulin),Anti-Tg (Antibody- Thyroglobulin),anti_tg,Anti-Tg,chemistry,blood,Anti-Tg (Antibody- Thyroglobulin),Anti-TG,lab_list_pdf#5:83; lab_med_ministry_pdf#2:14
