canonical_key,canonical_name,category,default_specimen,aliases,external_source_notes
25oh_vitamin_d,25OH Vitamin D,chemistry,blood,25OH Vitamin D|25OH Vitamin D (D3)|D3,lab_med_ministry_pdf#3:55
acid_uric,Acid Uric,urinalysis,blood,Acid Uric|Acid uric máu,both#2:3
acid_uric_nieu,Acid uric niệu,chemistry,blood,Acid uric niệu,lab_list_pdf#7:107
acp,ACP,chemistry,blood,ACP|ACP (Phosphatase Acid)|Phosphatase Acid,lab_med_ministry_pdf#2:1
acth,ACTH,endocrine,blood,ACTH,both#2:2
adh,ADH,chemistry,blood,ADH|ADH (Anti Diuretic Hormone)|Anti Diuretic Hormone,lab_med_ministry_pdf#2:4
adiponectin,Adiponectin,chemistry,blood,Adiponectin,lab_med_ministry_pdf#2:5
afb_truc_tiep_nhuom_ziehl_neelsen,AFB trực tiếp nhuộm Ziehl- Neelsen,microbiology,unknown,AFB trực tiếp nhuộm Ziehl- Neelsen,lab_list_pdf#8:9
afp,AFP,tumor_marker,blood,AFP|AFP (Alpha Fetoproteine)|Alpha Fetoproteine,both#2:18
albumin,Albumin,chemistry,blood,Albumin,lab_med_ministry_pdf#2:7
albumin_mau,Albumin máu,chemistry,blood,Albumin máu,lab_list_pdf#1:6
aldosteron,Aldosteron,chemistry,blood,Aldosteron,lab_med_ministry_pdf#2:6
alp,ALP,chemistry,blood,ALP|ALP (Alkalin Phosphatase)|Alkalin Phosphatase,both#2:9
alpha1_antitrypsin,Alpha1 Antitrypsin,chemistry,blood,Alpha1 Antitrypsin,lab_med_ministry_pdf#2:8
alpha_1_acid_glycoprotein,alpha 1 Acid Glycoprotein,chemistry,blood,alpha 1 Acid Glycoprotein,lab_med_ministry_pdf#2:21
alpha_amylase_mau,alpha -amylase máu,chemistry,blood,alpha -amylase máu,lab_list_pdf#2:23
alpha_amylase_nieu,alpha -amylase niệu,chemistry,blood,alpha -amylase niệu,lab_list_pdf#7:106
alt,ALT,chemistry,blood,ALT|ALT (GPT)|GPT,both#2:19
amh,AMH,chemistry,blood,AMH|AMH ( Anti- Mullerian Hormone)|Anti- Mullerian Hormone,lab_med_ministry_pdf#2:12
amoniac,Amoniac,chemistry,blood,Amoniac|Amoniac ( NH3)|NH3,lab_med_ministry_pdf#2:11
amphetamin,Amphetamin,urinalysis,urine,Amphetamin,lab_med_ministry_pdf#6:173
amylase,Amylase,urinalysis,blood,Amylase,lab_med_ministry_pdf#2:10
anti_ccp,Anti-CCP,immunology,blood,Anti-CCP,both#5:84
anti_hbc_igm,Anti-HBc IgM,chemistry,blood,Anti-HBc IgM,lab_list_pdf#5:79
anti_hbeag,Anti-HBeAg,chemistry,blood,Anti-HBeAg,lab_list_pdf#5:77
anti_hbsag,Anti-HBsAg,immunology,blood,Anti-HBsAg,lab_list_pdf#5:76
anti_hcv,Anti-HCV,immunology,blood,Anti-HCV,lab_list_pdf#5:78
anti_tg,Anti-Tg,chemistry,blood,Anti-TG|Anti-Tg (Antibody- Thyroglobulin)|Antibody- Thyroglobulin,both#2:14
anti_tpo,Anti - TPO,chemistry,blood,Anti - TPO|Anti - TPO (Anti- thyroid Peroxidase antibodies),lab_med_ministry_pdf#2:15
apo_a1,Apo A1,chemistry,blood,Apo A1|Apo A1 (Apolipoprotein A1)|Apolipoprotein A1,lab_med_ministry_pdf#2:16
apo_b,Apo B,chemistry,blood,Apo B|Apo B (Apolipoprotein B)|Apolipoprotein B,lab_med_ministry_pdf#2:17
aptt,APTT,coagulation,blood,APTT|PTT,plan_section_9
aslo,ASLO,immunology,blood,ASLO,lab_list_pdf#2:31
ast,AST,chemistry,blood,AST|AST (GOT)|GOT,both#2:20
bach_cau,Bạch cầu,hematology,blood,WBC|bạch cầu,lab_seed_terms.csv
barbiturates,Barbiturates,urinalysis,urine,Barbiturates,lab_med_ministry_pdf#6:177
benzodiazepin,Benzodiazepin,urinalysis,urine,Benzodiazepin,lab_med_ministry_pdf#6:178
beta_2_microglobulin,beta 2 microglobulin,chemistry,blood,beta 2 microglobulin|beta 2-microglobulin,both#2:22
beta_crosslap,Beta Crosslap,tumor_marker,blood,Beta Crosslap,lab_med_ministry_pdf#2:23
beta_hcg,beta HCG,endocrine,urine,beta -HCG|beta HCG,both#6:179
bicarbonate,Bicarbonate,blood_gas,blood,HCO3|bicarbonate,plan_section_9
bilirubin_gian_tiep,Bilirubin gián tiếp,chemistry,blood,Bilirubin gián tiếp,lab_med_ministry_pdf#2:26
bilirubin_toan_phan,Bilirubin toàn phần,chemistry,blood,bilirubin|Bilirubin toàn phần,both#2:27; lab_seed_terms.csv
bilirubin_truc_tiep,Bilirubin trực tiếp,chemistry,blood,Bilirubin trực tiếp,both#2:25
bnp,BNP,chemistry,blood,BNP|BNP (B- Type Natriuretic Peptide),lab_med_ministry_pdf#2:28
bo_the_c3,bổ thể C3,chemistry,blood,bổ thể C3,lab_med_ministry_pdf#3:48
bo_the_c4,bổ thể C4,chemistry,blood,bổ thể C4,lab_med_ministry_pdf#3:49
c_peptid,C-Peptid,coagulation,blood,C-Peptid,lab_med_ministry_pdf#3:45
ca_125,CA 125,tumor_marker,blood,CA 125|CA 125 (cancer antigen 125)|cancer antigen 125,both#2:32
ca_15_3,CA 15 - 3,tumor_marker,blood,CA 15 - 3|CA 15 - 3 (cancer antigen 15- 3)|CA 15-3|cancer antigen 15- 3,both#3:34
ca_19_9,CA 19 - 9,tumor_marker,blood,CA 19 - 9|CA 19 - 9 (carbohydrate antigen 19-9)|CA 19-9,both#3:33
ca_72_4,CA 72 - 4,tumor_marker,blood,CA 72 - 4|CA 72 - 4 (cancer antigen 72- 4)|CA 72-4|cancer antigen 72- 4,both#3:35
cac_chat_ien_giai,các chất điện giải,urinalysis,blood,"Na, K, Cl|các chất điện giải (Na, K, Cl)",lab_med_ministry_pdf#3:58
cac_chat_ien_giai_mau,Các chất điện giải máu,chemistry,blood,"Các chất điện giải máu|Na, K, Cl",lab_list_pdf#3:36
calci,Calci toàn phần,urinalysis,blood,Calci toàn phần|calci|canxi|canxi toàn phần|Ca,abbreviation.txt:Ca; both#2:29
calci_ion_hoa,Calci ion hoá,chemistry,blood,calci ion hóa|canxi ion hóa,both#2:30
