term,canonical,type,notes
cao huyết áp,tăng huyết áp,icd,common alias
tiểu đường,đái tháo đường,icd,common alias
bệnh thận mãn,bệnh thận mạn,icd,orthographic alias
bệnh phổi tắc nghẽn mãn tính,bệnh phổi tắc nghẽn mạn tính,icd,orthographic alias
nhiễm trùng đường tiết niệu,nhiễm khuẩn đường tiết niệu,icd,common alias
gút,bệnh gút,icd,short alias
atenololtrong,atenolol,rxnorm,raw typo alias
atenolol trong,atenolol,rxnorm,normalized typo alias
tylenol,acetaminophen,rxnorm,brand alias
advil,ibuprofen,rxnorm,brand alias
coumadin,warfarin,rxnorm,brand alias
bactrim,sulfamethoxazole trimethoprim,rxnorm,brand alias
